available_liquidity,sp_score,market_cap,total_debt,ltm_capex,ltm_ebitda,ltm_fcf,ltm_revenue
2408.457984,4,5564.626944,573.967,-11.455,477.297,167.948,1417.605
2402.692984,2,14881.8473,9189.495,-864.454,1508.456992,274.189,2348.564
2399.374976,2,10754.78835,3289.459,-3173.82,1450.359984,-1879.6,2338.229
2395.7,4,19322.91482,10175.6,-1441.4,2487.4,680.8,7582
2379.233024,1,4953.512448,2491.803,-144.438,674.645984,-401.88,19115.672
2352.777984,1,57818.28403,18533.465,-696.421,3537.696,2126.768,6112.859
2350,4,34046.10355,1000,-251,1586,1328,5089
2333.2,3,21789.36627,7658.9,-880.2,2657.2,980.4,9531.9
2319.894678,4,32822.93965,9310,-1354,3663,1621,13873
2317.6,2,22377.10131,3358,-128,1447.1,980,6284.8
2317,4,24653.32019,15828,-4074,3952,-691,12146
2316.950016,5,72116.17485,1902.068,-190.046,2143.004032,2398.637,6526.222
2294.499968,1,13491.36384,876.2,-312.1,913.9,467.3,4509.1
2290,1,6589.954048,1048,-248,-498,668,18816
2279.699968,4,9035.47392,6807.567,-218.548,1171.159968,1126.569,5652.514
2279.061984,1,7171.385344,2790.161,-177.552,1024.299984,193.956,24110.636
2265,1,13521.1991,4422,-1196,1346,174,2866
2254.535936,2,13021.14611,2499.248,-192.677,665.205008,450.603,2742.055
2243.931008,1,5465.109504,2119.822,-738.473,1140.313024,222.81,18470.855
2227.140992,2,14192.22118,4968.953,-547.145,2389.726976,992.514,10774.84
2222,4,36056.85453,8277,-502,3203,2142,19782
2212,3,9053.787136,7431,-1536,1590,-196,4228
2208,3,13206.61197,7834,-2161,2345,-56,6156
2178.957871,3,15677.57414,3533,-311,1237,980,7913
2163.08096,2,14142.88282,1720.974,-166.361,936.711008,726.817,5038.305
2163,2,27374.9545,3213,-2029,1534,-278,5093
2162.950752,2,14978.0439,5789.2,-743.6,1584.7,986.7,14311.7
2140.299388,4,30756.83328,10608.294,-1885.04,1593.504992,-381.511,2720.018
2104.3,2,5887.314944,7884.4,-846.1,893.6,537,4599
2075.852992,1,4386.123264,2992.567,-928.55,1064.466016,-65.036,1925.139
2042.139,4,24033.96403,8987.258,-747.539,1558.994976,455.852,2410.817
2006.72704,3,13307.85485,1487.678,-51.421,790.284,722.236,2295.615
2000.616297,0,36448.06349,9454,-2955,4799,2347,16768
1988.436,3,18402.38387,2511.485,-732.562,1723.352,623.113,9007.686
1982,3,18905.73107,11782,-2164,2684,-34,11300
1981.887008,2,7214.237184,2326.439,-287.216,701.858984,86.505,5322.869
1956,1,48383.80749,9595,-1256.43,3842.401984,2950.626,11799.623
1955,2,24926.56845,7122,-512,1566,211,6653
1945.763,5,19082.86259,10751.737,-2068.955,2683.343104,42.635,7688.629
1937.500032,1,25995.61011,11892.8,-493.1,1695.700032,1317.1,15215.4
1930,3,50817.97837,11293,-2287,4705.000064,728,11549
1924,4,59564.06886,6517.4,-699.2,5841.300096,3095,11532.7
1902,7,92886.5239,19616,-1941,2297.999936,2424,28482
1895,1,18922.18675,12072.5,-450.7,3953.299904,651.3,6676.5
1890.700032,5,23239.14342,1641.7,-102.5,1174,517.5,3779.3
1887,1,19290.06694,7200,-215.801,1119.788992,588.085,7709.846
1883,3,12872.81152,10034,-1723,2184,-82,6427
1878.4,3,8360.177152,7909.3,-1489.6,1450.9,-578.1,4654.5
1868.035008,1,10812.55322,6523.798,-450.572,1112.170976,186.211,1566.454
1858,2,13288.09677,3680,-400,1561,907,13773
1844.219008,4,21311.61293,396.493,-294.127,2132.878944,1316.482,13084.191
1828,5,14012.95053,7182,-1377,1571,-71,3315
1798.1,3,5756.434432,1267.6,-180.1,583.4,158.4,7082.2
1781,2,17944.99584,2114,-190,1290,489,5314
1775,2,9755.26912,1690.3,-198.5,1110,592.2,7858.5
1755.2,1,13783.6841,2798.3,-103.2,1520.2,347.1,13128.7
1740.199936,2,23965.3929,1490.7,-62.3,-339.3,-11.8,2004.8
1740,2,23948.41088,6279,-807,3619.000064,1786,36824
1730.665984,2,24060.15795,6209.536,-45.915,1334.405024,1089.015,3973.807
1714,1,10654.52749,3371,-191,1315,759,5615
1705,3,35933.04883,10212,-1927,4161.000064,1074,10043
1666.8,2,13239.89197,5398.5,-192.4,1450.5,866.6,7392.3
1655,1,14126.64525,2387,-156.837,974.751984,403.284,2005.077
1647.598,3,15359.58426,5839.605,-1876.569,989.859008,-995.683,1134.081
1629,2,31091.98029,4468,-213,1660,568,4957
1625,1,6616.382464,4611,-807,2203,1247,18557
1596.1,2,10249.77715,1893,-97.7,512.1,264.9,3079.6
1594,2,6898.154496,1564,-223,689,403,4527
1582,2,26252.04224,4562,-294,1888,1091,5568
1578.908032,1,8923.090944,1487.939,-855.837,278.090992,-92.158,1457.861
1558.4,3,9817.278464,2219.5,-527.5,648.7,534.1,9209.4
1545.403,5,8822.111232,3268.59,-1108.102,1021.582016,-216.885,3079.789
1531,4,16988.48768,2320,-220,1238,593,5926
1530.028,4,9497.1392,4323.985,-1248.077,1451.440992,-228.845,3499.243
1512.2,3,11455.24122,1107.1,-212.5,939.5,524.2,4010.1
1504.873,1,9260.771328,4217.695,-472.223,983.886016,232.692,3437.055
1503.7,1,4412.732416,3558.5,-618.3,820.1,29.5,1329.2
1501.4,2,14288.34304,2996.4,-242.1,1322.7,933.4,8598.8
1498.782,0,5305.227264,361.125,-211.884,561.108016,-35.293,8115.752
1481.172992,2,4877.314048,2086.252,-430.826,696.614008,197.28,1572.664
1479.512,1,4781.47328,2235.137,-389.974,154.978,166.277,11597.459
